涉及疾病,涉及疾病的编号,疾病描述
Ovarian dysgenesis,H00599,"Ovarian dysgenesis (ODG), also known as 46,XX gonadal dysgenesis, is a rare, genetically heterogeneous disorder characterized by lack of spontaneous pubertal development, primary amenorrhea, uterine hypoplasia, and hypergonadotropic hypogonadism as a result of streak gonads."
Primary microcephaly,H00269,Autosomal recessive primary microcephaly (MCPH) is a neurodevelopmental disorder characterized by reduced skull circumference and brain volume.
Infantile bilateral striatal necrosis,H01177,"Infantile bilateral striatal necrosis (IBSN) is a neurological disorder characterized by symmetrical degeneration of the caudate nucleus, putamen, and occasionally the globus pallidus, with little involvement of the rest of the brain. The clinical features of IBSN include developmental regression, choreoathetosis, dystonia, spasticity, dysphagia, failure to thrive, nystagmus, optic atrophy, and mental retardation. The mechanism of IBSN has not been elucidated, although it has been reported that IBSN usually occurs as a result of metabolic, familial, or toxic diseases. Mutations in the adenosine triphosphatase 6 gene (complex V) have been described in families with mitochondrial inheritance, while there is much evidence that supports the role of the mutation in NUP62 as the cause of autosomal recessive IBSN. Human herpes virus-6 (HHV-6) infection has been reported to associated with this disease."
Atrial fibrillation,H00731,"Atrial fibrillation (AF, ATFB) is the most common cardiac arrhythmia and is regarded generally as a sporadic, acquired disorder. Nevertheless, recent growing evidence points to an important heritable basis for AF. By linkage analysis, several loci have been mapped for monogenetic AF. Some of these loci encode for subunits of potassium channels."
Fetal akinesia deformation sequence,H00987,"Fetal akinesia deformation sequence (FADS) is a heterogeneous disorder characterized by impaired fetal movement and resulting developmental defects. Fetal movement is essential for normal fetal development and growth. Intrauterine movement restriction causes growth retardation, congenital limb contractures, pterygia, pulmonary hypoplasia, and hydramnios."
Lethal congenital contractural syndrome,H00865,"Lethal congenital contractural syndrome (LCCS) is a heterogeneous group of disorders characterized by congenital nonprogressive joint contractures with a severe form of arthrogryposis. LCCS is inherited in an autosomal recessive manner. It has a worldwide incidence, but it is more common in isolated populations, such as Finland and the Bedouin community in Israel. Several mutations associated with LCCS have been reported."
Congenital arthrogryposis with anterior horn cell disease,H01030,"Congenital arthrogryposis with anterior horn cell disease (CAAHD), formerly known as lethal arthrogryposis with anterior horn cell disease (LAAHD), is a condition with fetal akinesia deformation sequence (FADS), multiple contractures and facial anomalies. Motor neuron loss is also present in patients with CAAHD."
Huntington disease,H00059,"Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15 gene, which results in a long stretch of polyglutamine (polyQ) close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. Full-length Htt is cleaved by proteases in the cytoplasm, leading to the formation of cytoplasmic and neuritic aggregates. mHtt also alters vesicular transport and recycling, causes cytosolic and mitochondrial Ca2+erload, triggers endoplasmic reticulum stress through proteasomal dysfunction, and impairs autophagy function, increasing neuronal death susceptibility. N-terminal fragments containing the polyQ stretch translocate to the nucleus where they impair transcription and induce neuronal death."
Williams-Beuren syndrome,H01439,"Williams-Beuren syndrome (WBS) is a rare autosomal dominant multisystem disorder associated with the hemizygous deletion of a number of genes on chromosome 7q11.23. The range of phenotypes may include congenital vascular and heart disease, characteristic facial features, premature aging, generally mild mental retardation, short stature, myopathy, hypercalcemia, and a unique cognitive profile. To date at least 28 genes have been identified within the deleted region."
Oral-facial-digital syndrome,H00454,"Oral-facial-digital syndrome is a group of heterogeneous disorders characterized by malformations of the face, oral cavity and digits. OFD type I is a male lethal disorder and due to mutations in the OFD1 gene on the X chromosome. OFD type IV is due to mutations in the TCTN3 gene and patients have tibial dysplasia. OFD type V is due to mutations in the DDX59 gene and patients show the core features of cleft palate, lobulated tongue, and polydactyly."
Hereditary gingival fibromatosis,H01250,"Hereditary gingival fibromatosis (GINGF) is a rare autosomal dominant overgrowth condition characterized by a benign, slowly progressive, nonhemorrhagic, fibrous enlargement of maxillary and mandibular keratinized gingiva. Four gene loci have been mapped for autosomal dominant GINGF. Although the molecular basis of GINGF remains largely unknown, a SOS1 gene mutation is identified. Recently, it has been reported that REST final-exon-truncating mutations cause GINGF."
Chromosome 15q24 microdeletion syndrome,H01861,"Chromosome 15q24 microdeletion syndrome is a rare microdeletion syndrome characterized by growth retardation, intellectual disability, and distinct facial features including long face with high anterior hairline, hypertelorism, epicanthal folds, downslanting palpebral fissures, sparse and broad medial eyebrows, broad and/or depressed nasal bridge, small mouth, long smooth philtrum, and full lower lip. Other common findings include skeletal and digital abnormalities, genital abnormalities in males, hypotonia, behavior problems, recurrent infections, and eye problems. The recurrent deletions of chromosome 15q24 result from non-allelic homologous recombination (NAHR) mediated by low-copy repeat (LCR, also called segmental duplication) clusters. The deletion occurred as a de novo event in all known cases. Recent study has identified that haploinsufficiency of SIN3A (chromosome 15q24.2) is associated with mild syndromic intellectual disability. This phenotype is highly related to that of individuals with atypical 15q24 microdeletions, linking SIN3A to this microdeletion syndrome."
Hypertriglyceridemia,H01637,"Hypertriglyceridemia (HTG) is a condition with fasting triglyceride (TG) levels in blood continuing to rise. HTG generally refers to an increase of plasma triglyceride (TG) concentrations above the 95th percentile for age and gender of a reference population. HTG has generally been classified as primary when a definite familial or inherited basis is suspected, whereas secondary HTG refers to cases where there coexist one or more identifiable secondary conditions such as metabolic syndrome, type 2 diabetes (T2D), alcohol consumption, various medications, renal insufficiency, pregnancy, etc. Genetic conditions with HTG include familial HTG (FHTG), familial combined hyperlipidemia (FCHL) [DS: H00153 ], and familial dysbetalipoproteinemia (Type III hyperlipidemia) [DS: H00156 ]. Three drug classes are clinically available for treatment of HTG, fibrates, niacin and n-3 fatty acids. Each of these classes has limitations. There is inconsistency in the evidence base for cardiovascular risk reduction using fibrates, the use of niacin is associated with significant side effects, and there are limited data on the use of n-3 fatty acids to reduce cardiovascular risk."
Osteogenesis imperfecta,H00506,"Osteogenesis imperfecta (OI) is characterized by an inherited bone fragility mainly caused by mutations in type I collagen. Poor teeth development, blue sclerae and hearing impairment also manifest in individuals with OI. Mutations in the other genes have been recently identified."
Autosomal recessive spinocerebellar ataxias,H01891,"Autosomal recessive cerebellar ataxias (SCAR) are a heterogeneous group of inherited neurodegenerative disorders that affect the cerebellum, the spinocerebellar and sensory tracts of the spinal cord and often the sensory nerves. They may present as a pure cerebellar syndrome or are associated with neurological symptoms such as peripheral neuropathy, dystonia, chorea, cognitive impairment, optic atrophy, seizures or extra neurological symptoms such as cardiomyopathy and diabetes mellitus in Friedreich ataxia. The main clinical features are staggering gait with frequent falls, upper limb dysmetria, impairment of speech, dysphagia, and abnormalities of eye movement."
Machado-Joseph disease,H01478,"Machado-Joseph disease (MJD), also known as spinocerebellar ataxia type 3 (SCA3), is one of the most common hereditary ataxias and is distributed worldwide. MJD is an autosomal dominant neurodegenerative disorder, involving predominantly the cerebellar, pyramidal, extrapyramidal, motor neuron and oculomotor systems. Minor, but more specific, features such as external progressive ophthalmoplegia (EPO), dystonia, intention fasciculation-like movements of facial and lingual muscles, as well as bulging eyes, may also be of major importance for the clinical diagnosis of MJD. The mean age at onset is around 40 years. MJD is associated with CAG repeat expansions in the ATXN3 gene. CAG repeat varies in size among affected persons. There is no effective treatment of ataxia. Case series and small controlled trials of several medications including antianxiolytics, antidepressants, and antiepileptics have shown limited efficacy."
Episodic ataxias,H00749,"Episodic ataxias (EAs) are a group of rare autosomal-dominant diseases characterized by recurrent, discrete episodes of ataxia, giddiness, and vertigo. EA1 and EA2 are the most widely recognized of the autosomal-dominant EAs and are caused by dysfunction of neuronal voltage-gated ion channels. There are central and peripheral nervous system manifestations in both conditions. The current classification is based on genetics and actually includes seven distinct subtypes. But these variants other than EA1 and EA2 are rare, some only occurring in single families, and gene mutations have not been identified in all. It is quite likely, however, that the number of phenotypes and mutated genes will grow further."
Hemiplegic migraine,H00775,"Sporadic and familial hemiplegic migraines (SHM and FHM) are rare paroxysmal disorders characterized by motor aura and headache. The distinction is based on whether at least one first or second degree relative is also affected, otherwise the diagnostic criteria are similar. The majority of FHM families have a mutation in one of the ion channels CACNA1A, ATP1A2 and SCN1A. SHM is sometimes caused by a de novo mutation in one of the genes. However, at least a quarter of the large families affected and most sporadic cases do not have a mutation in the three genes known to be implicated in this disorder, suggesting that other genes are still to be identified."
Hemiconvulsion-hemiplegia-epilepsy syndrome,H01808,"Hemiconvulsion-hemiplegia-epilepsy (HHE) syndrome is a rare condition involving sudden and prolonged unilateral seizures in infancy and early childhood, followed by hemiplegia. The prolonged focal motor seizure usually occurs during the course of a febrile illness and is followed by hemiplegia ipsilateral to the side of convulsions. Although hemiplegia is usually permanent, it may disappear in about 20% of cases. Some patients with familial hemiplegic migraine and manifesting the S218L mutation in CACNA1A were reported to experience severe attacks with unilateral cerebral edema after trivial head trauma. It has shown that CACNA1A associate with HHE and familial hemiplegic migraine, and suggested that similar pathogenic mechanisms may underlie these two disorders."
Familial epilepsy temporal lobe (ETL),H00809,"Autosomal dominant lateral temporal epilepsy (ADLTE) or autosomal dominant partial epilepsy with auditory features (ADPEAF) is an inherited epilepsy syndrome characterized by onset in adolescence or early adulthood of lateral temporal seizures with predominant auditory symptoms originating from the lateral temporal lobe cortex. Mutations in the leucine-rich glioma-inactivated 1 (LGI1) gene have been reported in up to 50% of ADTLE/ADPEAF pedigrees. In addition, de novo LGI1 mutations are found in about 2% of sporadic cases with idiopathic partial epilepsy with auditory features, who are clinically similar to the majority of patients with ADLTE/ADPEAF but have no family history."
"Cerebellar ataxia, mental retardation (MR), and dysequilibrium syndrome (CAMRQ)",H01204,"Cerebellar ataxia, mental retardation (MR), and dysequilibrium syndrome (CAMRQ) is autosomal recessive, genetically heterogeneous conditions characterized by early onset of cerebellar ataxia and MR. Patients with CAMRQs have a severe disturbance of posture and balance, strabismus, muscular hypotonia during childhood and they have a delayed ability to walk independently. The disease is also characterized by perceptual difficulties and in most cases mild mental retardation. Four subtypes have been mapped so far."
Cerebral cavernous malformation,H00534,"Cerebral cavernous malformations (CCM) are vascular malformations of the central nervous system comprising enlarged caverns with a single layer of endothelium, which easily lead to cerebral hemorrhages. The disease present as either sporadic or autosomal dominant conditions and is linked to three genes KRIT1, MGC4607, and PDCD10. Mutations in KRIT1 impair its interaction with ICAP-1 alpha, and influence beta 1 integrin-dependent angiogenesis."
"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",H01912,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi (CLOVE) syndrome is a recently delineated disorder that comprises vascular malformations (typically truncal), dysregulated adipose tissue, scoliosis, enlarged bony structures (typically of the legs) without progressive or distorting bony overgrowth. The key feature of this syndrome is a truncal lipomatous mass of variable size that is noted at birth. The fatty growths often extend from the trunk into the retroperitoneum, mediastinum, thoracic cavity, and epidural space. Deeper fast-flow and slow-flow vascular anomalies become evident early in childhood. Most acral deformities become accentuated with growth, are often symmetrical, are not rapidly progressive, and are commonly misdiagnosed as Proteus syndrome. This syndrome is caused by somatic activating mutations in PIK3CA."
Desmoplastic small round cell tumor,H01985,"Desmoplastic small round cell tumor (DSRCT) is a rare tumor typically involving peritoneum. The concept of DSRCT as a distinct tumor has been strengthened by association with a specific chromosomal abnormality, t(11;22)(p13;q12) that involves the EWSR1 and WT1 genes. EWSR1 encodes the EWS protein which is a member of the FET family of RNA-binding proteins, while WT1 encodes a zinc-finger transcription factor. Several transcriptional targets of the EWSR1-WT1 chimera have been identified such as Platelet Derived Growth Factor A (PDGFA), IL2 receptor-beta, Myeloid Leukemia Factor 1 (MLF1) or Insulin-like Growth Factor 1 receptor (IGF1-R). Somatic MET and PIK3CA mutations have also been identified."
Megalencephaly-capillary malformation syndrome,H02153,"Megalencephaly-capillary malformation (MCAP) syndrome is a rare overgrowth syndrome. The main symptoms are progressive megalencephaly, polymicrogyria, capillary malformations, syndactyly, and connective tissue dysplasia. Mutations in PIK3CA have been reported in MCAP patients."
CLAPO syndrome,H02297,"CLAPO syndrome is a rare vascular disorder characterized by capillary malformation of the lower lip, lymphatic malformation predominant on the face and neck, asymmetry, and partial/generalized overgrowth. CLAPO is caused by activating mutations in PIK3CA."
Macrodactyly,H02647,"Macrodactyly is a discrete congenital anomaly consisting of enlargement of all tissues localized to the terminal portions of a limb. Macrodactyly is attributed to a somatic mutation in PIK3CA, a component of the mTOR pathway-related overgrowth disorders."
Activated PI3K-delta syndrome,H01387,"Activated PI3K-delta syndrome (APDS) is a primary immunodeficiency characterized by recurrent respiratory infections, progressive airway damage, lymphopenia, increased circulating transitional B cells, increased immunoglobulin M, and reduced immunoglobulin G2 levels in serum and impaired vaccine responses. A dominant gain-of-function mutation has been found in the p110-delta protein, the catalytic subunit of phosphoinositide 3-kinase delta (PI3K-delta), encoded by the PIK3CD gene."
Roifman-Chitayat syndrome,H02585,"Roifman-Chitayat syndrome (ROCHIS) is a combined immunodeficiency, characterized by facial dysmorphism, optic nerve atrophy, skeletal anomalies, myoclonic seizures, and substantial developmental delays. It has been reported that dual loss of PIK3CD and KNSTRN expression causes this syndrome."
Meningioma,H01556,"Meningiomas are the second-most common central nervous system tumor in adults. These tumors arise from arachnoid cells of the meninges, the covering layer of the brain. The majority of meningiomas tend to be benign, localized, and non-invasive. However, some meningiomas tend to be more aggressive with tendencies toward invasion of the surrounding brain, high propensity for recurrence, and in rare cases extracranial metastasis. Hereditary factors and ionizing radiation play an important role in the initiation of at least some meningiomas. Inactivation of the NF2 tumor suppressor gene is likely responsible for the initiation of more than half of all meningiomas and may cause a mesenchymal-like cytomorphology. Recently, novel mutations have been discovered in non-NF2 meningiomas. The recent identification of somatic mutations in components of the SHH-GLI1 and AKT1-MTOR signaling pathways indicates the potential for cross talk of these pathways in the development of meningiomas."
Proteus syndrome,H02119,"Proteus syndrome (PS) is a generally severe but highly variable disorder caused by an activating AKT1 mutation. The diagnosis of PS requires fulfillment of three general criteria: sporadic occurrence, mosaic distribution of lesions, and a progressive course in addition to various specific criteria. These specific manifestations include, but are not limited to, cerebriform connective tissue nevus, linear epidermal nevus, asymmetric, disproportionate overgrowth, dysregulated adipose tissue, vascular malformations, and lung cysts."
Type 2 diabetes mellitus,H00409,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycemia due to insulin resistance of peripheral tissues (skeletal muscle, liver, adipose tissue) and insufficient compensatory insulin secretion by pancreatic beta cells. Both insulin resistance and beta cell dysfunction are thought to result from the complex interplay of many different pathways under the combined control of environmental and genetic factors. It is accepted that T2DM results from population aging and adverse environmental factors of the modern world which favor the development of obesity."
Familial partial lipodystrophy,H00420,"Familial partial lipodystrophy (FPL) is a rare autosomal dominant disorder characterized by variable loss of body fat from the extremities as well as from the truncal region. LMNA, PPARG and AKT2 have been identified in association with FPL. However, it is not yet known how these genes cause the disorder. Besides them, additional loci are likely as many FPL patients do not reveal any mutations in these genes. LMNA mutations may affect nuclear function, and may be involved in apoptosis and premature cell death of adipocytes, thus causing lipodystrophy. PPARG, PLIN1, and AKT2 are regulators of adipocyte differentiation. AKT2 is also involved in postreceptor insulin signaling. Thus, mutations in these three genes could result in lipodystrophy. The reason why loss of fat is restricted to partial areas remains unknown. Recently, novel autosomal recessive causes of partial lipodystrophy were reported."
Hypoinsulinemic hypoglycemia with hemihypertrophy,H01909,"Hypoinsulinemic hypoglycemia with hemihypertrophy (HIHGHH) is characterized by hemihypertrophy without any other features of Beckwith-Wiedemann syndrome [DS: H00713 ] and persistent hypoketotic, hypofattyacidemic hypoinsulinaemic hypoglycemia with no detectable incompletely processed high molecular weight IGF-II precursor proteins or insulin autoantibodies. There is no evidence of increased glucose clearance from the circulation. Patients have been found to carry a de novo mutation in the serine/threonine kinase AKT2."
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome,H01885,"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome (MPPH) is rare overgrowth disorder. MCAP [DS: H02153 ] and MPPH show very similar symptoms; the main symptoms are progressive megalencephaly, polymicrogyria, capillary malformations, syndactyly, and connective tissue dysplasia in the former, and progressive megalencephaly, polymicrogyria, and polydactyly in the latter. Polydactyly in MPPH seems to be a variable feature presenting with varied severity in both upper and lower limbs. MCAP and MPPH have been shown to result from gain-of-function mutations in the mTOR-pathway."
Syndromic intellectual developmental disorder,H02463,Syndromic intellectual developmental disorder (IDD) is a group of disorders characterized by intellectual disability presented together with additional features such as facial dysmorphisms or congenital anomalies. Several underlying genetic causes of these disorders have been identified.
Neurodevelopmental disorder with histone modification defect,H02803,"Epigenetic regulatory mechanisms, including histone modification, play critical roles in cell differentiation and organ development through spatial and temporal gene regulation. Many neurodevelopmental disorders caused by mutations in genes encoding components of the histone modification machinery have been reported."
Prion disease,H00061,"Prion diseases, also termed transmissible spongiform encephalopathies (TSEs), are a group of fatal neurodegenerative diseases that affect humans and a number of other animal species. The etiology of these diseases is thought to be associated with the conversion of a normal protein, PrPC, into an infectious, pathogenic form, PrPSc. The conversion is induced by prion infections (for example, variant Creutzfeldt-Jakob disease (vCJD), iatrogenic CJD, Kuru), mutations (familial CJD, Gerstmann-Straussler-Scheinker syndrome, fatal familial insomnia (FFI)) or unknown factors (sporadic CJD (sCJD)), and is thought to occur after PrPC has reached the plasma membrane or is re-internalized for degradation. The PrPSc form shows greater protease resistance than PrPC and accumulates in affected individuals, often in the form of extracellular plaques. Pathways that may lead to neuronal death comprise oxidative stress, regulated activation of complement, ubiquitin-proteasome and endosomal-lysosomal systems, synaptic alterations and dendritic atrophy, corticosteroid response, and endoplasmic reticulum stress. In addition, the conformational transition could lead to the lost of a beneficial activity of the natively folded protein, PrPC."
Huntington disease-like syndrome,H01243,"Huntington disease (HD), which is caused by a triplet-repeat expansion in the IT15 gene (also known as huntingtin or HD), accounts for about 90% of cases of chorea of genetic etiology. In recent years, several other distinct genetic disorders have been identified that can present with a clinical picture indistinguishable from HD, termed HD-like (HDL) syndromes. So far, four genes associated with HDL syndromes have been identified, including the prion protein gene (HDL1), the junctophilin 3 gene (HDL2) and, the gene encoding the TATA box-binding protein (HDL4)."
Central core disease,H00699,"Central core disease (CCD) is an inherited neuromuscular disorder characterized by central cores on muscle biopsy and clinical features of a congenital myopathy. CCD is usually inherited as an autosomal dominant trait but recessive inheritance has been recently described in few families. The clinical phenotype of dominantly inherited CCD is variable but usually mild and non-progressive; however, more severe forms including the fetal akinesia syndrome have also been reported associated with recessive or de novo dominant mutations. CCD typically presents in infancy with hypotonia and motor developmental delay and is characterized by predominantly proximal weakness pronounced in the hip girdle. CCD is due to mutations in the skeletal muscle ryanodine receptor (RYR1) gene, encoding the principal skeletal muscle sarcoplasmic reticulum calcium release channel (RyR1). Altered excitability and/or changes in calcium homeostasis within muscle cells due to mutation-induced conformational changes of the RyR protein are considered the main pathogenetic mechanisms."
Multi-minicore disease,H01310,"Multi-minicore Disease (MmD) is a recessively inherited neuromuscular disorder characterized by multiple cores on muscle biopsy and clinical features of a congenital myopathy. It is morphologically defined by localized multiple areas of mitochondrial depletion and sarcomere disorganization, running to a limited extent along the longitudinal axis of muscle fiber (""minicores""). Marked clinical variability corresponds to genetic heterogeneity. Mutations in the SEPN1 gene have been identified in patients with the classic axial phenotype characterized by spinal rigidity, early scoliosis, and respiratory impairment, whereas mutations in the RYR1 gene have been associated with a wider range of clinical features comprising external ophthalmoplegia, distal weakness and wasting or predominant hip girdle involvement."
Arrhythmogenic right ventricular cardiomyopathy,H00293,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is an inherited heart muscle disease that may result in arrhythmia, heart failure, and sudden death. The hallmark pathological findings are progressive myocyte loss and fibrofatty replacement, with a predilection for the right ventricle. A number of genetic studies have identified mutations in various components of the cardiac desmosome that have important roles in the pathogenesis of ARVC. Disruption of desmosomal function by defective proteins might lead to death of myocytes under mechanical stress. The myocardial injury may be accompanied by inflammation. Since regeneration of cardiac myocytes is limited, repair by fibrofatty replacement occurs. Several studies have implicated that desmosome dysfunction results in the delocalization and nuclear translocation of plakoglobin. As a result, competition between plakoglobin and beta-catenin will lead to the inhibition of Wnt/beta-catenin signaling, resulting in a shift from a myocyte fate towards an adipocyte fate of cells. The ryanodine receptor plays a crucial part in electromechanical coupling by control of release of calcium from the sarcoplasmic reticulum into the cytosol. Therefore, defects in this receptor could result in an imbalance of calcium homeostasis that might trigger cell death."
Catecholaminergic polymorphic ventricular tachycardia,H01019,Catecholaminergic polymorphic ventricular tachycardia (CPVT) is a highly lethal form of inherited primary electrical myocardial disease characterized by exercise- and stress-related adrenergic ventricular tachycardia without structural cardiac abnormalities. It manifests as syncope and sudden death and can be caused by mutations in the cardiac ryanodine receptor gene (RYR2) accounting for an autosomal dominant form (CPVT1) or mutations in the cardiac calsequestrin gene CASQ2 accounting for an autosomal recessive form (CPVT2).
Congenital generalized lipodystrophy,H00419,"Congenital generalized lipodystrophy (CGL) is a rare autosomal recessive disease characterized by near total absence of adipose tissue from birth. Several metabolic alterations in carbohydrate (diabetes mellitus) and lipid metabolism and involvement of heart, bone and ovaries are also observed in this disease. Patients typically have low serum levels of leptin and adiponectin. Several genes were studied to identify the molecular alteration responsible for CGL, which have been found to contribute to lipid droplet formation in adipocytes."
Primary pulmonary hypertension,H01619,"Primary pulmonary hypertension (PPH) is a progressive disease characterised by raised pulmonary vascular resistance, which results in diminished right-heart function due to increased right ventricular afterload. PPH occurs most commonly in young and middle-aged women; mean survival from onset of symptoms is 2-3 years. Mutations in the type II bone morphogenetic protein (BMP) receptor (BMPR)-II are now considered to be the genetic basis for familial PPH and ~30% of cases of sporadic PPH. BMPs are members of the transforming growth factor beta superfamily and affect intracellular signalling via Smads and mitogen-activated protein kinases. It has been shown that missense mutations of cysteine residues in the extracellular or kinase domain of BMPR2 result in intracellular localisation of the mutated receptor and negligible Smad signalling."
Pulmonary arterial hypertension,H01621,"Pulmonary arterial hypertension (PAH) is a progressive disorder in which endothelial dysfunction and vascular remodeling obstruct small pulmonary arteries, resulting in increased pulmonary vascular resistance and pulmonary pressures. This leads to reduced cardiac output, right heart failure, and ultimately death. PAH is divided into disease subgroups that include heritable (HPAH, formerly familial PAH), idiopathic (IPAH), and PAH associated with a variety of other systemic diseases or drug/toxin exposures. It has been discovered that altered BMPR2 signaling is the major heritable risk factor for development of PAH, via rare variants (mutations) in the BMPR2 gene (coding for a type II receptor member of the transforming growth factor [TGF]-beta family). Pathogenic mutations in the type I receptor ACVRL1 and, at a significantly lower frequency, the type III receptor endoglin in multiple kindreds cause PAH associated with hereditary hemorrhagic telangiectasia (HHT). Together, these observations support a prominent role for TGF-beta family members in the development of PAH."
Hypertrophic cardiomyopathy,H00292,"Hypertrophic cardiomyopathy (HCM/CMH) is a primary myocardial disorder with an autosomal dominant pattern of inheritance that is characterized by hypertrophy of the left ventricles with histological features of myocyte hypertrophy, myofibrillar disarray, and interstitial fibrosis. HCM is one of the most common inherited cardiac disorders, with a prevalence in young adults of 1 in 500. Hundreds of mutations in the genes that encode protein constituents of the sarcomere have been identified in HCM. These mutations increase the Ca2+ sensitivity of cardiac myofilaments. Increased myofilament Ca2+ sensitivity is expected to increase the ATP utilization by actomyosin at submaximal Ca2+ concentrations, which might cause an imbalance in energy supply and demand in the heart under severe stress. The inefficient use of ATP suggests that an inability to maintain normal ATP levels could be the central abnormality. This theory might be supported by the discovery of the role of a mutant PRKAG2 gene in HCM, which in active form acts as a central sensing mechanism protecting cells from depletion of ATP supplies. The increase in the myofilament Ca2+ sensitivity well account for the diastolic dysfunction of model animals as well as human patients of HCM. It has been widely proposed that left ventricular hypertrophy is not a primary manifestation but develops as compensatory response to sarcomere dysfunction."
Limb-girdle muscular dystrophy 1C,H00567,"Limb-girdle muscular dystrophy (LGMD) is a clinically and genetically heterogeneous group of myopathies characterized by a progressive weakness of the pelvic and shoulder girdle musculature. It has been reported that loss-of-function mutations in caveolin-3 gene are associated with a form of muscular dystrophy, LGMD1C. Caveolins are the principal protein components of caveolae which represent appendages or sub-compartments of plasma membranes."
Rippling muscle disease,H02179,"Rippling muscle disease (RMD) is an autosomal-dominant disorder of skeletal muscle characterized by signs of increased muscle irritability, such as percussion-induced rapid contraction (PIRC), percussion-induced muscle mounding (PIMM), and/or electrically silent muscle contractions (rippling muscle). Many cases of RMD are caused by mutations in caveolin-3, and aberrations in the tubular system are commonly observed."
Idiopathic hyperCKemia,H02181,"Persistent elevation of serum creatine kinase (hyperCKemia) in individuals with normal neurological and laboratory examinations has been called idiopathic hyperCKemia. HyperCKemia usually accompanies muscle weakness in patients with myopathies, but it may also be found in subjects with a normal neurological examination. This condition is labeled asymptomatic or isolated hyperCKemia and may be due to subclinical or preclinical neuromuscular disorders, dystrophinopathy carrier state, hypothyroidism, hypoparathyroidism, alcoholism, or intake of statins and other drugs. When the cause is not found, even after extensive investigations, the condition is defined as idiopathic hyperCKemia. Mutations in the human CAV3 gene, leading to reduced expression of caveolin-3, which is the major muscle-specific caveolar protein, may result in hyperCKemia."
"Distal myopathy, Tateyama type",H02182,"Distal myopathy, Tateyama type is a peculiar form of distal myopathy associated with reduced caveolin-3 in muscle fibers in which the muscle atrophy is restricted to the small muscles of the hands and feet. Gene analysis has been disclosed heterozygous mutations in the caveolin-3 gene."
IFN-gamma/IL-12 axis,H00089,"The interferon-gamma-interleukin-12 axis is critical for defense against intracellular microbes such as mycobacteria, salmonella, and listeria. Mutations in either chain of the IFN-gammaR lead to severe susceptibility to mycobacteria and are very difficult to treat. Mutations in IL-12p40 or IL-12R beta 1 are milder clinically and can be treated with IFN-gamma because that receptor is still intact. Complete recessive mutations in STAT1 are more severe than any of the others because they affect both IFN-gamma and IFN-alpha signaling."
Chronic granulomatous disease,H00098,"Chronic granulomatous disease (CGD) is characterized by impaired activation of the NADPH oxidase activity in phagocytic cells, resulting in the inability of these cells to generate toxic oxygen radicals and hence to kill catalase-positive bacteria. The NADPH oxidase is composed of four polypeptide subunits and mutations in the corresponding genes (gp91phox, p22phox, p47phox, and p67phox) are responsible for the four different genetic subgroups of CGD. Most cases (65%) involve mutations in gp91phox and are inherited in an X-linked recessive manner. The remainder are autosomal recessive (AR)."
Granulibacter infection,H01167,"Granulibacter is a gram-negative acetic acid bacterium that is recently reported to be a human opportunistic pathogen. Granulibacter has been isolated from patients with chronic granulomatous disease, in which phagocytes are not able to produce bactericidal superoxide anions. Bacteremia has also been observed in a non-immunocompromised patient with a history of intravenous drug abuse."
Leukocyte adhesion deficiency,H00099,"Leukocyte adhesion deficiency (LAD) is a rare, autosomal recessive genetic disorder in which neutrophils fail to mobilize and migrate to sites of injury. At least three genetically distinct forms of this group of disorders have been described: LAD I, II, and III. Defects in the expression of beta2-integrins and fucose- containing proteins account for LAD-I and LAD-II, respectively. In LAD-III integrin expression by leukocytes is normal, but the integrins fail to generate high avidity for their cognate endothelial-cell ligands. Mutations in the KINDLIN3 (official symbol FERMT3), a gene that encodes an intracellular protein that interacts with cytoplasmic tails of beta-integrins in hematopoietic cells, is the cause of LAD-III. Dominant-negative mutations resulting in deficiency of ras-related C3 botulinum toxin substrate (Rac2), the predominant hematopoeitic-specific Rho GTPase in neutrophils also leads to leukocyte adhesion deficiency."
Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies,H02460,Neurodevelopmental disorder (NED) with dysmorphic facies and skeletal anomalies is a group of syndromic neurodevelopmental disorders. Some of them have complications in addition to dysmorphic facies and skeletal anomalies. Several underlying genetic causes of these diseases have been identified.
Poirier-Bienvenu neurodevelopmental syndrome,H02635,"Poirier-Bienvenu neurodevelopmental syndrome (POBINDS) is associated with epilepsy, intellectual disability, and developmental delay. It has been reported that mutations in CSNK2B cause this syndrome. CSNK2B encodes the beta subunit of casein kinase II (CK2), plays an important role in neuron morphology and synaptic transmission."
