涉及疾病,涉及疾病的编号,网络,网络ID
Congenital myopathy,H01810,Efferocytosis,nt06535
Congenital myopathy,H01810,Cytoskeleton in muscle cells,nt06539
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling,nt06528
Landau-Kleffner syndrome,H01514,Calcium signaling,nt06528
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Myocardial infarction,H01730,Coagulation cascade,nt06514
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Familial partial lipodystrophy,H00420,Cytoskeleton in muscle cells,nt06539
Primary pulmonary hypertension,H01619,TGFB signaling,nt06507
Hypertrophic cardiomyopathy,H00292,Calcium signaling,nt06528
Hypertrophic cardiomyopathy,H00292,Cytoskeleton in muscle cells,nt06539
Distal myopathy,H00594,Autophagy,nt06532
Distal myopathy,H00594,Mitophagy,nt06536
Distal myopathy,H00594,Cytoskeleton in muscle cells,nt06539
Long QT syndrome,H00720,Calcium signaling,nt06528
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Cerebral cavernous malformation,H00534,PI3K signaling,nt06530
Cowden syndrome,H01222,PI3K signaling,nt06530
"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",H01912,PI3K signaling,nt06530
Megalencephaly-capillary malformation syndrome,H02153,PI3K signaling,nt06530
CLAPO syndrome,H02297,PI3K signaling,nt06530
Epidermal nevus,H02627,PI3K signaling,nt06530
Macrodactyly,H02647,PI3K signaling,nt06530
Activated PI3K-delta syndrome,H01387,TCR/BCR signaling,nt06537
Roifman-Chitayat syndrome,H02585,Regulation of kinetochore-microtubule interactions,nt06515
Roifman-Chitayat syndrome,H02585,TCR/BCR signaling,nt06537
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
IFN-gamma/IL-12 axis,H00089,JAK-STAT signaling,nt06518
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies,H02460,Chromosome cohesion and segregation,nt06512
Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies,H02460,Epigenetic regulation by Polycomb complexes,nt06523
Poirier-Bienvenu neurodevelopmental syndrome,H02635,Epigenetic regulation by Polycomb complexes,nt06523
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Prion disease,H00061,Prion disease,nt06465
Prion disease,H00061,Pathways of neurodegeneration,nt06466
Prion disease,H00061,Unfolded protein response,nt06534
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Aortic valve disease,H00554,NOTCH signaling,nt06511
Adams-Oliver syndrome,H01413,NOTCH signaling,nt06511
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Autosomal recessive spinocerebellar ataxias,H01891,Base excision repair,nt06504
Autosomal recessive spinocerebellar ataxias,H01891,Calcium signaling,nt06528
Autosomal recessive spinocerebellar ataxias,H01891,Autophagy,nt06532
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Periodic paralysis,H00215,Calcium signaling,nt06528
Congenital myopathy,H01810,Calcium signaling,nt06528
Congenital myopathy,H01810,Efferocytosis,nt06535
Congenital myopathy,H01810,Cytoskeleton in muscle cells,nt06539
Long QT syndrome,H00720,Calcium signaling,nt06528
Brugada syndrome,H00728,Calcium signaling,nt06528
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Calcium signaling,nt06528
Primary aldosteronism,H01603,Renin-angiotensin-aldosterone signaling,nt06316
Primary aldosteronism,H01603,Calcium signaling,nt06528
Sinoatrial node dysfunction and deafness,H02636,Calcium signaling,nt06528
Cone-rod dystrophy and cone dystrophy,H00481,Calcium signaling,nt06528
Aland Island eye disease,H00690,Calcium signaling,nt06528
Congenital stationary night blindness,H00787,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Episodic ataxias,H00749,Calcium signaling,nt06528
Hemiplegic migraine,H00775,Calcium signaling,nt06528
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Calcium signaling,nt06528
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Idiopathic generalized epilepsies,H00808,Calcium signaling,nt06528
Idiopathic generalized epilepsies,H00808,Efferocytosis,nt06535
Primary aldosteronism,H01603,Renin-angiotensin-aldosterone signaling,nt06316
Primary aldosteronism,H01603,Calcium signaling,nt06528
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Calcium signaling,nt06528
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling,nt06528
Landau-Kleffner syndrome,H01514,Calcium signaling,nt06528
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Myocardial infarction,H01730,Coagulation cascade,nt06514
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Focal cortical dysplasia of Taylor,H01251,mTOR signaling,nt06522
Smith-Kingsmore syndrome,H01928,mTOR signaling,nt06522
Neurodevelopmental disorder with microcephaly,H02461,Regulation of kinetochore-microtubule interactions,nt06515
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Retinitis pigmentosa,H00527,Efferocytosis,nt06535
Neurodevelopmental disorder with structural brain abnormalities,H02470,"Glycine, serine and arginine metabolism",nt06033
Neurodevelopmental disorder with structural brain abnormalities,H02470,Autophagy,nt06532
Paget disease of bone,H00437,TNF signaling,nt06516
Paget disease of bone,H00437,Autophagy,nt06532
Paget disease of bone,H00437,Mitophagy,nt06536
Distal myopathy,H00594,Autophagy,nt06532
Distal myopathy,H00594,Mitophagy,nt06536
Distal myopathy,H00594,Cytoskeleton in muscle cells,nt06539
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Primary open angle glaucoma,H00612,Autophagy,nt06532
Primary open angle glaucoma,H00612,Mitophagy,nt06536
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Infection-induced acute encephalopathy,H02536,TLR signaling,nt06517
Infection-induced acute encephalopathy,H02536,Necroptosis,nt06527
Paget disease of bone,H00437,TNF signaling,nt06516
Paget disease of bone,H00437,Autophagy,nt06532
Paget disease of bone,H00437,Mitophagy,nt06536
Distal myopathy,H00594,Autophagy,nt06532
Distal myopathy,H00594,Mitophagy,nt06536
Distal myopathy,H00594,Cytoskeleton in muscle cells,nt06539
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Primary open angle glaucoma,H00612,Autophagy,nt06532
Primary open angle glaucoma,H00612,Mitophagy,nt06536
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Hodgkin lymphoma,H00007,TNF signaling,nt06516
Hodgkin lymphoma,H00007,TLR signaling,nt06517
Hodgkin lymphoma,H00007,JAK-STAT signaling,nt06518
Hodgkin lymphoma,H00007,RLR signaling,nt06519
Hodgkin lymphoma,H00007,Apoptosis,nt06524
Hodgkin lymphoma,H00007,TCR/BCR signaling,nt06537
Adult T-cell leukemia,H00009,Human T-cell leukemia virus 1 (HTLV-1),nt06160
Adult T-cell leukemia,H00009,TGFB signaling,nt06507
Adult T-cell leukemia,H00009,TNF signaling,nt06516
Adult T-cell leukemia,H00009,JAK-STAT signaling,nt06518
Adult T-cell leukemia,H00009,TCR/BCR signaling,nt06537
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Head and neck squamous cell carcinoma,H02610,Apoptosis,nt06524
Head and neck squamous cell carcinoma,H02610,Necroptosis,nt06527
Disorders of innate immunity,H02525,DNA replication,nt06509
Disorders of innate immunity,H02525,TNF signaling,nt06516
Disorders of innate immunity,H02525,JAK-STAT signaling,nt06518
Disorders of innate immunity,H02525,RLR signaling,nt06519
Disorders of innate immunity,H02525,Necroptosis,nt06527
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
